60,"Кому принадлежит фраза «Власть развращает, абсолютная власть развращает абсолютно»?","Лорд Актон","Джон Локк","Платон","Томас Джефферсон"
125,"В каком году Фридрих фон Хайек получил Нобелевскую премию по экономике?",1974,1969,1977,1984
250,"В какой из этих стран не существует писанной конституции? ","Великобритания","Россия","США","Швеция"
500,"Кто является автором теории созидательного разрушения?","Йозеф Шумпетер","Карл Менгер","Фридрих фон Хайек","Джон Кейнс"
1000,"У кого из перечисленных теоретиков либертарианства никто из близких родственников никогда не жил на территории бывшей Российской Империи?","Фридрих фон Хайек","Мюррей Ротбард","Людвиг фон Мизес","Роберт Нозик"
2000,"Бём-Баверк, экономист австрийской школы, был женат на сестре одного из своих коллег. Что же это за коллега? ","Фридрих фон Визер","Оскар Моргенштерн","Людвиг фон Мизес","Карл Менгер"
4000,"Первая английская колония в Северной Америке, которая запретила рабство.","Род-Айленд","Южная Королина","Нью-Гэмпшир","Массачусетс"
8000,"В какой из этих стран впервые был создан центральный банк? ","Швеция","Англия","США","Франция"
16000,"Кто из перечисленных экономистов австрийской школы не был доктором права (юриспруденции)?","Мюррей Ротбард","Хесус Уэрта де Сото","Людвиг фон Мизес","Карл Менгер"
32000,"Биография этого либерального философа и экономиста весьма специфична. Поначалу он был коммунистом, затем переметнулся в стан национал-социалистов и только после Второй мировой войны кардинально поменял свои взгляды и стал отстаивать ценности свободы и либеральную экономическую политику. О ком речь?","Бертран де Жувенель","Энтони де Ясаи","Исайа Берлин","Генри Хэзлитт"
64000,"Председатель ФРС - ученик Айн Рэнд","Алан Гринспен","Бен Бернарке","Джанет Йеллен","Пол Волкер"
125000,"Какое из данных принципов были рассмотрены мыслителями Саламанкской школы?","Субъективная теория ценности","Трудовая теория стоимости","Теория сравнительных преимуществ","Созидательное разрушение "
250000,"Этот экономист не закончил школу и с 16 лет работал охотником на крокодилов, а затем в управлении электроснабжения. Участник Второй Мировой Войны, где провел 3 года в Японском плену. О ком идёт речь?","Олбан Уильям Филлипс","Джон Гелбрейт","Ирвинг Фишер","Абба Птахия Лернер"
500000,"Историк Ральф Райко назвал этого мыслителя ""одним из последних величайших представителей «Старых Правых»"".","Фрэнк Ходоров","Калвин Кулидж","Патрик Бьюкенен","Рональд Рейган"
60,"Какую из этих книг не писал Людвиг фон Мизес","Судьба либерализмаТеория денег и кредита",,"Социализм","Человеческая деятельность"
500,"В каком году был основан ""Институт Людвига фон Мизеса""?",1982,1976,1979,1985
60,"Что характерно для австрийской экономической школы?","Развитая теория денег","Поддержка широкого вмешательства государства в рыночные процессы","Ничего из перечисленного","Отсутствие частной собственности"
16000,"Единственный член Конгресса США, который проголосовал против объявления войны Японии после атаки на Пёрл-Харбор.","Джанет Рэнкин","Гарри Труман","Мария Тереза НортонДуайт Эйзенхауэр",
16000,"Единственный сенатор, проголосовавший против принятия Патриотического акта после террористической атаки 9 сентября 2001 года, представлял этот штат","Висконсин","Техас","Нью-Йорк","Джорджия"
4000,"В каком штате была создана Либертарианская партия США?","Колорадо","Техас","Нью-Гэмпшир","Флорида"
32000,"В какой стране находится старейший в мире парламент?","Исландия","Великобритания","США","Швеция"
1000,"Как называлось оружие, которое ""выиграло Дикий Запад""?","Colt Peacemaker","Colt Walker","Smith & Wesson Model 3","Colt Dragoon"
4000,"Где в Древней Греции можно было увидеть надпись ""Здесь живут мертвые и говорят немые""?","В библиотеках","В больницах","В тюрьмах","На кладбищах"
2000,"Автор ""Принципов политической экономии""?","Джон Стюарт Милль","Дэвид Юм","Адам Смит","Ирвинг Фишер"
1000,"Основатель институционального направления в экономике?","Торстейн Веблен","Аурэлио Печчеи","Ян Тимберген","Ватоадмин"
60,"Расшифруйте сокращение ""АЭШ""","Австрийская экономическая школа","Автономная энергетическая школа","Авиационно-эксплутационная школа","Австралийская экономическая школа"
32000,"Чего не делал Пиночет?","Национализация медной промышленности","Введение прогрессивного налога","Ограничение размера арендной платы","Бесплатная выдача продовольствия малоимущим"
125,"Алиса Розенбаум - это кто?","Айн Рэнд","Клеопатра","Людмила Путина","Маргарет Тэтчер"
60,"Как называли Маргарет Тэтчер?","Железная леди","Стальная леди","Стальная дева","Железная дева"
64000,"На каких типах предсказаний построена Австрийская Теория Бизнес Циклов?","Структурных","Количественных","Численных","Всех вышеперечисленных"
125,"Кто из этих экономистов не принадлежит к австрийской экономической школе?","Милтон Фридман","Фридрих фон Хайек","Людвиг фон Мизес","Мюррей Ротбард"
500,"Где произошла ""Славная Революция""?","Англия","США","Италия","Словения"
1000,"В какой стране существовало политическое движение левеллеров?","Англия","США","Франция","Германия"
2000,"В какой стране никогда не принимали Конституцию?","Израиль","Болгария","Франция","Бельгия"
500000,"Кто являлся создателем Немецкой Ассоциации свободной торговли?","Джон Принс-Смит","Вальтер Ойкен","Вильгельм Рёпке","Людвиг Эрхард"
125000,"Какое из этих государств последним вышло из состава СССР?","Казахстан","Россия","Узбекистан","Белоруссия"
250000,"Какой из этих разделов математики не применяется в экономике?","Дискретная математика","Линейная алгебра","Теория игр","Математический анализ"
8000,"Кто из этих британских государственных деятелей был этническим ирландцем?","Эдмунд Бёрк","Роберт Пиль","Уильям Гладстон","Уинстон Черчилль"
16000,"Сколько стоили две пиццы купленные в 2010-м году за биткоины?","10000 BTC","2000 BTC","5000 BTC","100 BTC"
2000,"Кто из этих голлувудских актеров придерживается либертарианских взглядов?","Клинт Иствуд","Мэл Гибсон","Сильвестр Сталлоне","Арнольд Шварцнеггер"
500000,"Кто из этих немецких экономистов не являлся представителем ордолиберализма?","Альфред Мюллер-Армак","Александр Рюстов","Вальтер Ойкен","Вильгельм Рёпке"
16000,"Автор книги ""От социального государства до минимального""?","Андерс фог Расмуссен","Роберт Нозик","Йенс Столтенберг","Михаил Пожарский"
1000,"Сенатором от какого штата является Рэнд Пол?","Кентукки","Техас","Юта","Невада"
500000,"Что такое дулократия?","Государство рабов","Государство пиратов","Крестьянская республика","Диктатура буржуазии"
8000,"На какой срок избираются сенаторы в США?","6 лет","2 года","4 года","пожизненно"
16000,"В каком штате на сенаторских выборах 2018 года во втором туре встретились два представителя одной партии?","Калифорния","Юта","Техас","Северная Каролина"
32000,"В каком из штатов на сенаторских выборах 2016 года кандидат от Либертарианской партии набрал 29% голосов?","Аляска","Нью-Гэмпшир","Техас","Кентукки"
250,"Что изображено на гадсденовском флаге?","Рептилия на лимонном фоне","Герб немецкого города Гадсден","Орёл и крейсер","Свастика"
250000,"Кто из этих французских экономистов был членом Петербургской академии наук?","Жан-Батист Сэй","Фредерик Бастиа","Анн Робер Жак Тюрго","Пьер-Жозеф Прудон"
125000,"Кто из этих экономистов не является почетным доктором Финансового университета?","Джозеф Стиглиц","Андрей Илларионов","Хесус Уэрта де Сото","Пол Давенпорт"
2000,"Кто такие ""виги""?","Британские либералы","Британские консерваторы","Сторонники единой Ирландии","Сторонники независимой Шотландии"
4000,"Дата введения ""золотого стандарта"" в России?",1897,1905,1888,1891
32000,"В каком университете экономист Томас Соуэлл получил докторскую степень?","Чикагский Университет","Гарвардский Университет","Оксфордский Университет","Колумбийский Университет"
1000,"Кто из этих американских деятелей не считается ""Отцом-основателем""?","Генри Ли","Джеймс Монро","Александр Гамильтон","Джон Адамс"
4000,"В каком городе был подписан договор о продаже Аляски США?","Вашингтон","Владивосток","Санкт-Петербург","Нью-Йорк"
2000,"Основатель Фонда Экономического Образования (FEE)?","Леонард Рид","Лоуренс Рид","Фридрих фон Хайек","Генри Хэзлитт"
16000,"Кто из перечисленных мыслителей не был сторонником теории общественного договора?","Людвиг Гумплович","Дени Дидро","Бенедикт Спиноза","Поль Анри Гольбах"
4000,"Какая из этих групп не участвовала в Английской Гражданской Войне (1640-1660)?","Тори","Кавалеры","Индепенденты","Левеллеры"
2000,"Как по-другому называют первые 10 поправок к Конституции США?","Билль о правах","Гражданский кодекс","Билль патриотов","Органический закон"
8000,"Основная идея Джорджизма?","Установление единого налога на землю","Упразднение государства","Децентрализация","Упразднение всех налогов"
16000,"Сколько всего кантонов в Швейцарии на 2019-й год?",26,19,12,24
4000,"Автор книги ""Непреднамеренные последствия""","Дипак Лал","Юхан Норберг","Мюррей Ротбард","Бруно Леони"
1000,"Дата основания Либертарианской партии России?",2008,2011,2014,2006
16000,"Какой из этих анархо-капиталистов написал известную критическую статью об идеях австрийской экономической школы ""Почему я не австрийский экономист""?","Брайан Каплан","Дэвид Фридман","Джефф Дейст","Стефан Кинселла"
500,"Основатель украинской либертарианской партии 5.10?","Геннадий Балашов","Анатолий Шарий","Владимир Зеленский","Дмитрий Гордон"
500,"Президент Института Мизеса (2019)?","Джефф Дейст","Ханс-Херманн Хоппе","Лью Роквелл","Уолтер Блок"
8000,"Как называют сторонников экстерриториальных контрактных юрисдикций?","Панархисты","минархисты","джорджисты","мютюэлисты"
32000,"В какой из этих стран право на оружие закреплено на уровне конституции?","Гватемала","Сальвадор","Никарагуа","Пуэрто-Рико"
16000,"В какой из этих стран полностью легализована марихуана?","Канада","Португалия","Нидерланды","Швеция"
64000,"В какой стране нет права на оружие в конституции?","Швейцария","Чехия","Гватемала","Мексика"
32000,"Кто утверждал, что первобытность была золотым веком человечества?","Жан-Жак Руссо","Дени Дидро","Джон Локк","Александр Радищев"
16000,"В какой стране жили философы, учёные и деятели искусства, именуемые энциклопедистами?","Франция","Англия","Германия","Испания"
32000,"«Немногие способны дополнить экономическую теорию последовательными идеями. Однако любой благоразумный человек обязан ознакомиться с этой наукой. В наше время это является основным гражданским долгом». Чья цитата?","Людвиг фон Мизес","Мюррей Ротбард","Фридрих фон Хайек","Хесус Уэрта де Сото"
8000,"Кто из этих либертарианских мыслителей придерживался (-ется) консеквенциалистского подхода?","Дэвид Фридман","Ханс-Херманн Хоппе","Роберт Нозик","Мюррей Ротбард"
4000,"Кто не относится к российским представителям либертарианского движения?","Александр Аузан","Павел Усанов","Ростислав Капелюшников","Владимир Четвернин"
125000,"В какой стране континентального права появился либертарно-юридический подход к изучению государства и права?","Россия","Германия","Италия","Франция"
32000,"Бывший премьер-министр какой страны сейчас возглавляет Совет директоров Роснефти?","Германия","Италия","Франция","Великобритания"
8000,"Кто предлагал ввести книгу ""Атлант расправил плечи"" в российскую школьную программу?","Андрей Илларионов","Герман Греф","Алексей Кудрин","Анатолий Чубайс"
500000,"Кто выдвинул идею «вертолетных денег»? (Конечная цель «вертолетных денег» – повысить потребительский спрос и расходы, повысить широкую экономическую активность и увеличить инфляцию до оптимального уровня, что приводит к восстановлению экономики)","Милтон Фридман","Бен Бернарке","Джон Кейнс","Пол Кругман"
64000,"В какой из этих стран активное избирательное право для женщин появилось позже всего?","Швейцария","Греция","США","Франция"
